element_type,element_name,perturbation_type,base_value_MW,base_value_MVAR,sensitivity_value,sensitivity_magnitude,bus_index
generator,G 03,P,650.0000000068052,488.17365810934007,4.4025894802002255e-05,4.4025894802002255e-05,9
generator,G 03,P,650.0000000068052,488.17365810934007,5.3982311359712656e-05,5.3982311359712656e-05,10
generator,G 03,P,650.0000000068052,488.17365810934007,5.116609405035888e-05,5.116609405035888e-05,11
generator,G 03,P,650.0000000068052,488.17365810934007,4.527194312163307e-05,4.527194312163307e-05,12
generator,G 03,P,650.0000000068052,488.17365810934007,5.346995029903989e-05,5.346995029903989e-05,13
generator,G 03,P,650.0000000068052,488.17365810934007,3.84294243678307e-05,3.84294243678307e-05,14
generator,G 03,P,650.0000000068052,488.17365810934007,3.3255246302871246e-05,3.3255246302871246e-05,15
generator,G 03,P,650.0000000068052,488.17365810934007,4.913671998674762e-05,4.913671998674762e-05,16
generator,G 03,P,650.0000000068052,488.17365810934007,6.187545764575475e-05,6.187545764575475e-05,17
generator,G 03,P,650.0000000068052,488.17365810934007,1.2185543812937016e-05,1.2185543812937016e-05,18
generator,G 03,P,650.0000000068052,488.17365810934007,6.647108078911002e-06,6.647108078911002e-06,19
generator,G 03,P,650.0000000068052,488.17365810934007,2.3273616651153794e-05,2.3273616651153794e-05,20
generator,G 03,P,650.0000000068052,488.17365810934007,1.2374986407059919e-05,1.2374986407059919e-05,21
generator,G 03,P,650.0000000068052,488.17365810934007,1.27916838861597e-05,1.27916838861597e-05,22
generator,G 03,P,650.0000000068052,488.17365810934007,3.0235464702305093e-05,3.0235464702305093e-05,23
generator,G 03,P,650.0000000068052,488.17365810934007,5.865186249823795e-05,5.865186249823795e-05,24
generator,G 03,P,650.0000000068052,488.17365810934007,3.737312646535651e-05,3.737312646535651e-05,25
generator,G 03,P,650.0000000068052,488.17365810934007,5.04163295844684e-05,5.04163295844684e-05,26
generator,G 03,P,650.0000000068052,488.17365810934007,1.9335697988887012e-05,1.9335697988887012e-05,27
generator,G 03,P,650.0000000068052,488.17365810934007,1.3233373339405218e-05,1.3233373339405218e-05,28
generator,G 04,P,350.54776001353775,207.54159564623365,0.0002020192774184193,0.0002020192774184193,0
generator,G 04,P,350.54776001353775,207.54159564623365,0.00012136417995088355,0.00012136417995088355,1
generator,G 04,P,350.54776001353775,207.54159564623365,0.0001444832711913091,0.0001444832711913091,2
generator,G 04,P,350.54776001353775,207.54159564623365,0.00016829072222540042,0.00016829072222540042,3
generator,G 04,P,350.54776001353775,207.54159564623365,0.00019368255923248867,0.00019368255923248867,4
generator,G 04,P,350.54776001353775,207.54159564623365,0.0001276196616398384,0.0001276196616398384,5
generator,G 04,P,350.54776001353775,207.54159564623365,0.00018018415184679616,0.00018018415184679616,6
generator,G 04,P,350.54776001353775,207.54159564623365,0.00020546461052815547,0.00020546461052815547,7
generator,G 04,P,350.54776001353775,207.54159564623365,0.00020218623147808535,0.00020218623147808535,8
generator,G 04,P,350.54776001353775,207.54159564623365,0.00010992987062155012,0.00010992987062155012,9
generator,G 04,P,350.54776001353775,207.54159564623365,0.00011684290103089467,0.00011684290103089467,10
generator,G 04,P,350.54776001353775,207.54159564623365,0.00012362998541089464,0.00012362998541089464,11
generator,G 04,P,350.54776001353775,207.54159564623365,0.00012254868056437162,0.00012254868056437162,12
generator,G 04,P,350.54776001353775,207.54159564623365,0.00014502292365901616,0.00014502292365901616,13
generator,G 04,P,350.54776001353775,207.54159564623365,0.0001141656068512964,0.0001141656068512964,14
generator,G 04,P,350.54776001353775,207.54159564623365,8.461598552293448e-05,8.461598552293448e-05,15
generator,G 04,P,350.54776001353775,207.54159564623365,0.00011016214407498781,0.00011016214407498781,16
generator,G 04,P,350.54776001353775,207.54159564623365,0.0001283675114339522,0.0001283675114339522,17
generator,G 04,P,350.54776001353775,207.54159564623365,2.7028816559526714e-05,2.7028816559526714e-05,18
generator,G 04,P,350.54776001353775,207.54159564623365,1.4743985247700486e-05,1.4743985247700486e-05,19
generator,G 04,P,350.54776001353775,207.54159564623365,5.921833524750175e-05,5.921833524750175e-05,20
generator,G 04,P,350.54776001353775,207.54159564623365,3.1487417246400806e-05,3.1487417246400806e-05,21
generator,G 04,P,350.54776001353775,207.54159564623365,3.254767822469251e-05,3.254767822469251e-05,22
generator,G 04,P,350.54776001353775,207.54159564623365,7.693232960779839e-05,7.693232960779839e-05,23
generator,G 04,P,350.54776001353775,207.54159564623365,8.842674324786581e-05,8.842674324786581e-05,24
generator,G 04,P,350.54776001353775,207.54159564623365,5.6345796945533874e-05,5.6345796945533874e-05,25
generator,G 04,P,350.54776001353775,207.54159564623365,0.00011303102861278668,0.00011303102861278668,26
generator,G 04,P,350.54776001353775,207.54159564623365,2.915157339603569e-05,2.915157339603569e-05,27
generator,G 04,P,350.54776001353775,207.54159564623365,1.995136942090081e-05,1.995136942090081e-05,28
generator,G 06,P,200.00000000233365,286.48414940162957,0.00010194710132682694,0.00010194710132682694,0
generator,G 06,P,200.00000000233365,286.48414940162957,6.21938591522042e-05,6.21938591522042e-05,1
generator,G 06,P,200.00000000233365,286.48414940162957,7.559398861307077e-05,7.559398861307077e-05,2
generator,G 06,P,200.00000000233365,286.48414940162957,8.737759293350189e-05,8.737759293350189e-05,3
generator,G 06,P,200.00000000233365,286.48414940162957,9.957046766099764e-05,9.957046766099764e-05,4
generator,G 06,P,200.00000000233365,286.48414940162957,6.555550477629901e-05,6.555550477629901e-05,5
generator,G 06,P,200.00000000233365,286.48414940162957,9.216386702565749e-05,9.216386702565749e-05,6
generator,G 06,P,200.00000000233365,286.48414940162957,0.00010495682199310741,0.00010495682199310741,7
generator,G 06,P,200.00000000233365,286.48414940162957,0.00010219893989900642,0.00010219893989900642,8
generator,G 06,P,200.00000000233365,286.48414940162957,5.69871646620812e-05,5.69871646620812e-05,9
generator,G 06,P,200.00000000233365,286.48414940162957,6.0370030490136674e-05,6.0370030490136674e-05,10
generator,G 06,P,200.00000000233365,286.48414940162957,6.408734951334205e-05,6.408734951334205e-05,11
generator,G 06,P,200.00000000233365,286.48414940162957,6.374105168546195e-05,6.374105168546195e-05,12
generator,G 06,P,200.00000000233365,286.48414940162957,7.601389954985937e-05,7.601389954985937e-05,13
generator,G 06,P,200.00000000233365,286.48414940162957,6.292854317065943e-05,6.292854317065943e-05,14
generator,G 06,P,200.00000000233365,286.48414940162957,4.892824478301416e-05,4.892824478301416e-05,15
generator,G 06,P,200.00000000233365,286.48414940162957,6.0866430429074025e-05,6.0866430429074025e-05,16
generator,G 06,P,200.00000000233365,286.48414940162957,6.908693508491104e-05,6.908693508491104e-05,17
generator,G 06,P,200.00000000233365,286.48414940162957,1.7928497205155213e-05,1.7928497205155213e-05,18
generator,G 06,P,200.00000000233365,286.48414940162957,9.779807563614629e-06,9.779807563614629e-06,19
generator,G 06,P,200.00000000233365,286.48414940162957,3.4964982216822985e-05,3.4964982216822985e-05,20
generator,G 06,P,200.00000000233365,286.48414940162957,1.902540263297725e-05,1.902540263297725e-05,21
generator,G 06,P,200.00000000233365,286.48414940162957,1.9282101544160212e-05,1.9282101544160212e-05,22
generator,G 06,P,200.00000000233365,286.48414940162957,4.463095600233391e-05,4.463095600233391e-05,23
generator,G 06,P,200.00000000233365,286.48414940162957,4.530863960767184e-05,4.530863960767184e-05,24
generator,G 06,P,200.00000000233365,286.48414940162957,2.8869338883164007e-05,2.8869338883164007e-05,25
generator,G 06,P,200.00000000233365,286.48414940162957,6.244924004755736e-05,6.244924004755736e-05,26
generator,G 06,P,200.00000000233365,286.48414940162957,1.493596032258182e-05,1.493596032258182e-05,27
generator,G 06,P,200.00000000233365,286.48414940162957,1.0222189381059454e-05,1.0222189381059454e-05,28
generator,G 07,P,150.0000000014901,126.63996371376915,0.00010187524750527865,0.00010187524750527865,0
generator,G 07,P,150.0000000014901,126.63996371376915,6.212339649652176e-05,6.212339649652176e-05,1
generator,G 07,P,150.0000000014901,126.63996371376915,7.546427038589432e-05,7.546427038589432e-05,2
generator,G 07,P,150.0000000014901,126.63996371376915,8.724616549996012e-05,8.724616549996012e-05,3
generator,G 07,P,150.0000000014901,126.63996371376915,9.944827620376185e-05,9.944827620376185e-05,4
generator,G 07,P,150.0000000014901,126.63996371376915,6.547616570495851e-05,6.547616570495851e-05,5
generator,G 07,P,150.0000000014901,126.63996371376915,9.206337419458976e-05,9.206337419458976e-05,6
generator,G 07,P,150.0000000014901,126.63996371376915,0.0001048463735080718,0.0001048463735080718,7
generator,G 07,P,150.0000000014901,126.63996371376915,0.00010212348835876295,0.00010212348835876295,8
generator,G 07,P,150.0000000014901,126.63996371376915,5.6903951605913325e-05,5.6903951605913325e-05,9
generator,G 07,P,150.0000000014901,126.63996371376915,6.0287355653809714e-05,6.0287355653809714e-05,10
generator,G 07,P,150.0000000014901,126.63996371376915,6.399377139560403e-05,6.399377139560403e-05,11
generator,G 07,P,150.0000000014901,126.63996371376915,6.364213367449634e-05,6.364213367449634e-05,12
generator,G 07,P,150.0000000014901,126.63996371376915,7.587955837632388e-05,7.587955837632388e-05,13
generator,G 07,P,150.0000000014901,126.63996371376915,6.272988389104395e-05,6.272988389104395e-05,14
generator,G 07,P,150.0000000014901,126.63996371376915,4.8711485201274884e-05,4.8711485201274884e-05,15
generator,G 07,P,150.0000000014901,126.63996371376915,6.067008938175356e-05,6.067008938175356e-05,16
generator,G 07,P,150.0000000014901,126.63996371376915,6.891381205983426e-05,6.891381205983426e-05,17
generator,G 07,P,150.0000000014901,126.63996371376915,1.7849071319187004e-05,1.7849071319187004e-05,18
generator,G 07,P,150.0000000014901,126.63996371376915,9.736481711841715e-06,9.736481711841715e-06,19
generator,G 07,P,150.0000000014901,126.63996371376915,3.446504804931472e-05,3.446504804931472e-05,20
generator,G 07,P,150.0000000014901,126.63996371376915,1.8354156818400914e-05,1.8354156818400914e-05,21
generator,G 07,P,150.0000000014901,126.63996371376915,1.9235273434159427e-05,1.9235273434159427e-05,22
generator,G 07,P,150.0000000014901,126.63996371376915,4.4462450862270406e-05,4.4462450862270406e-05,23
generator,G 07,P,150.0000000014901,126.63996371376915,4.525731390957466e-05,4.525731390957466e-05,24
generator,G 07,P,150.0000000014901,126.63996371376915,2.8836637260132304e-05,2.8836637260132304e-05,25
generator,G 07,P,150.0000000014901,126.63996371376915,6.22478003846072e-05,6.22478003846072e-05,26
generator,G 07,P,150.0000000014901,126.63996371376915,1.4919041832983648e-05,1.4919041832983648e-05,27
generator,G 07,P,150.0000000014901,126.63996371376915,1.0210610344651983e-05,1.0210610344651983e-05,28
generator,G 08,P,150.00000000397506,279.7175544947105,0.00010374142363510086,0.00010374142363510086,0
generator,G 08,P,150.00000000397506,279.7175544947105,4.6301353342481646e-05,4.6301353342481646e-05,1
generator,G 08,P,150.00000000397506,279.7175544947105,4.539415441626171e-05,4.539415441626171e-05,2
generator,G 08,P,150.00000000397506,279.7175544947105,6.0056993836926643e-05,6.0056993836926643e-05,3
generator,G 08,P,150.00000000397506,279.7175544947105,7.28728629027009e-05,7.28728629027009e-05,4
generator,G 08,P,150.00000000397506,279.7175544947105,4.7933922496157245e-05,4.7933922496157245e-05,5
generator,G 08,P,150.00000000397506,279.7175544947105,6.911392742367517e-05,6.911392742367517e-05,6
generator,G 08,P,150.00000000397506,279.7175544947105,7.931677463012266e-05,7.931677463012266e-05,7
generator,G 08,P,150.00000000397506,279.7175544947105,8.140954379965427e-05,8.140954379965427e-05,8
generator,G 08,P,150.00000000397506,279.7175544947105,3.940946761693542e-05,3.940946761693542e-05,9
generator,G 08,P,150.00000000397506,279.7175544947105,4.2590670499415006e-05,4.2590670499415006e-05,10
generator,G 08,P,150.00000000397506,279.7175544947105,4.43199916311976e-05,4.43199916311976e-05,11
generator,G 08,P,150.00000000397506,279.7175544947105,4.323679922308976e-05,4.323679922308976e-05,12
generator,G 08,P,150.00000000397506,279.7175544947105,4.9562775595096696e-05,4.9562775595096696e-05,13
generator,G 08,P,150.00000000397506,279.7175544947105,3.5032893038672294e-05,3.5032893038672294e-05,14
generator,G 08,P,150.00000000397506,279.7175544947105,2.5447686741691954e-05,2.5447686741691954e-05,15
generator,G 08,P,150.00000000397506,279.7175544947105,3.15208830953817e-05,3.15208830953817e-05,16
generator,G 08,P,150.00000000397506,279.7175544947105,3.679158519803716e-05,3.679158519803716e-05,17
generator,G 08,P,150.00000000397506,279.7175544947105,9.324655509046487e-06,9.324655509046487e-06,18
generator,G 08,P,150.00000000397506,279.7175544947105,5.086509762564084e-06,5.086509762564084e-06,19
generator,G 08,P,150.00000000397506,279.7175544947105,1.7809414700487026e-05,1.7809414700487026e-05,20
generator,G 08,P,150.00000000397506,279.7175544947105,9.469582997456704e-06,9.469582997456704e-06,21
generator,G 08,P,150.00000000397506,279.7175544947105,9.788458091131158e-06,9.788458091131158e-06,22
generator,G 08,P,150.00000000397506,279.7175544947105,2.31369031646389e-05,2.31369031646389e-05,23
generator,G 08,P,150.00000000397506,279.7175544947105,5.967014142582716e-05,5.967014142582716e-05,24
generator,G 08,P,150.00000000397506,279.7175544947105,3.801947394609373e-05,3.801947394609373e-05,25
generator,G 08,P,150.00000000397506,279.7175544947105,3.234112894952568e-05,3.234112894952568e-05,26
generator,G 08,P,150.00000000397506,279.7175544947105,1.966985403981658e-05,1.966985403981658e-05,27
generator,G 08,P,150.00000000397506,279.7175544947105,1.3462072579895067e-05,1.3462072579895067e-05,28
generator,G 09,P,250.0000000019819,33.78470846813494,0.00011023494729058835,0.00011023494729058835,0
generator,G 09,P,250.0000000019819,33.78470846813494,5.452325126410473e-05,5.452325126410473e-05,1
generator,G 09,P,250.0000000019819,33.78470846813494,5.1468022713568876e-05,5.1468022713568876e-05,2
generator,G 09,P,250.0000000019819,33.78470846813494,6.513350416071928e-05,6.513350416071928e-05,3
generator,G 09,P,250.0000000019819,33.78470846813494,7.802500920010003e-05,7.802500920010003e-05,4
generator,G 09,P,250.0000000019819,33.78470846813494,5.111849117300227e-05,5.111849117300227e-05,5
generator,G 09,P,250.0000000019819,33.78470846813494,7.351779296714267e-05,7.351779296714267e-05,6
generator,G 09,P,250.0000000019819,33.78470846813494,8.430454146994281e-05,8.430454146994281e-05,7
generator,G 09,P,250.0000000019819,33.78470846813494,8.566543093340151e-05,8.566543093340151e-05,8
generator,G 09,P,250.0000000019819,33.78470846813494,4.226993305307958e-05,4.226993305307958e-05,9
generator,G 09,P,250.0000000019819,33.78470846813494,4.558360582826992e-05,4.558360582826992e-05,10
generator,G 09,P,250.0000000019819,33.78470846813494,4.753681019930012e-05,4.753681019930012e-05,11
generator,G 09,P,250.0000000019819,33.78470846813494,4.647989665070851e-05,4.647989665070851e-05,12
generator,G 09,P,250.0000000019819,33.78470846813494,5.357794366289692e-05,5.357794366289692e-05,13
generator,G 09,P,250.0000000019819,33.78470846813494,3.827735104902086e-05,3.827735104902086e-05,14
generator,G 09,P,250.0000000019819,33.78470846813494,2.8122170360161958e-05,2.8122170360161958e-05,15
generator,G 09,P,250.0000000019819,33.78470846813494,3.526336533770658e-05,3.526336533770658e-05,16
generator,G 09,P,250.0000000019819,33.78470846813494,4.1454773302534996e-05,4.1454773302534996e-05,17
generator,G 09,P,250.0000000019819,33.78470846813494,1.0304651157122536e-05,1.0304651157122536e-05,18
generator,G 09,P,250.0000000019819,33.78470846813494,5.621086969137545e-06,5.621086969137545e-06,19
generator,G 09,P,250.0000000019819,33.78470846813494,1.9681125413129053e-05,1.9681125413129053e-05,20
generator,G 09,P,250.0000000019819,33.78470846813494,1.0464805792809173e-05,1.0464805792809173e-05,21
generator,G 09,P,250.0000000019819,33.78470846813494,1.0817194765722071e-05,1.0817194765722071e-05,22
generator,G 09,P,250.0000000019819,33.78470846813494,2.556853227914102e-05,2.556853227914102e-05,23
generator,G 09,P,250.0000000019819,33.78470846813494,7.315578811777357e-05,7.315578811777357e-05,24
generator,G 09,P,250.0000000019819,33.78470846813494,6.838887439741814e-05,6.838887439741814e-05,25
generator,G 09,P,250.0000000019819,33.78470846813494,3.618091971350212e-05,3.618091971350212e-05,26
generator,G 09,P,250.0000000019819,33.78470846813494,3.882870454970933e-05,3.882870454970933e-05,27
generator,G 09,P,250.0000000019819,33.78470846813494,2.6721183558175987e-05,2.6721183558175987e-05,28
generator,G 10,P,4.323992186527903e-07,467.1518663456481,0.00010048424069204475,0.00010048424069204475,0
generator,G 10,P,4.323992186527903e-07,467.1518663456481,5.139509192225167e-05,5.139509192225167e-05,1
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.7948828392330165e-05,4.7948828392330165e-05,2
generator,G 10,P,4.323992186527903e-07,467.1518663456481,5.979334646656898e-05,5.979334646656898e-05,3
generator,G 10,P,4.323992186527903e-07,467.1518663456481,7.131376924942589e-05,7.131376924942589e-05,4
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.665779906760092e-05,4.665779906760092e-05,5
generator,G 10,P,4.323992186527903e-07,467.1518663456481,6.704323191989991e-05,6.704323191989991e-05,6
generator,G 10,P,4.323992186527903e-07,467.1518663456481,7.68588778337076e-05,7.68588778337076e-05,7
generator,G 10,P,4.323992186527903e-07,467.1518663456481,7.782255986417686e-05,7.782255986417686e-05,8
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.8657169753464336e-05,3.8657169753464336e-05,9
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.165698187895139e-05,4.165698187895139e-05,10
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.3473971923335686e-05,4.3473971923335686e-05,11
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.2540051436951164e-05,4.2540051436951164e-05,12
generator,G 10,P,4.323992186527903e-07,467.1518663456481,4.912992768018043e-05,4.912992768018043e-05,13
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.522704890012163e-05,3.522704890012163e-05,14
generator,G 10,P,4.323992186527903e-07,467.1518663456481,2.5980379358236937e-05,2.5980379358236937e-05,15
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.2710519991790976e-05,3.2710519991790976e-05,16
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.854335493380656e-05,3.854335493380656e-05,17
generator,G 10,P,4.323992186527903e-07,467.1518663456481,9.51984701387243e-06,9.51984701387243e-06,18
generator,G 10,P,4.323992186527903e-07,467.1518663456481,5.192984671176237e-06,5.192984671176237e-06,19
generator,G 10,P,4.323992186527903e-07,467.1518663456481,1.818221448891544e-05,1.818221448891544e-05,20
generator,G 10,P,4.323992186527903e-07,467.1518663456481,9.667807448010545e-06,9.667807448010545e-06,21
generator,G 10,P,4.323992186527903e-07,467.1518663456481,9.993357683191206e-06,9.993357683191206e-06,22
generator,G 10,P,4.323992186527903e-07,467.1518663456481,2.362122498291708e-05,2.362122498291708e-05,23
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.744253019710708e-05,3.744253019710708e-05,24
generator,G 10,P,4.323992186527903e-07,467.1518663456481,2.3857488328804523e-05,2.3857488328804523e-05,25
generator,G 10,P,4.323992186527903e-07,467.1518663456481,3.356169949828569e-05,3.356169949828569e-05,26
generator,G 10,P,4.323992186527903e-07,467.1518663456481,1.2343028554917535e-05,1.2343028554917535e-05,27
generator,G 10,P,4.323992186527903e-07,467.1518663456481,8.447583531867587e-06,8.447583531867587e-06,28
load,Load 03,P,322.0,2.40000009536746,-0.00020307700128849304,0.00020307700128849304,0
load,Load 03,P,322.0,2.40000009536746,-0.00011691094684419534,0.00011691094684419534,1
load,Load 03,P,322.0,2.40000009536746,-0.00013063647893526986,0.00013063647893526986,2
load,Load 03,P,322.0,2.40000009536746,-0.00015120131069506492,0.00015120131069506492,3
load,Load 03,P,322.0,2.40000009536746,-0.00017613458854313092,0.00017613458854313092,4
load,Load 03,P,322.0,2.40000009536746,-0.0001143887874795746,0.0001143887874795746,5
load,Load 03,P,322.0,2.40000009536746,-0.00016357163528946673,0.00016357163528946673,6
load,Load 03,P,322.0,2.40000009536746,-0.00018723427015369666,0.00018723427015369666,7
load,Load 03,P,322.0,2.40000009536746,-0.00018582547612608358,0.00018582547612608358,8
load,Load 03,P,322.0,2.40000009536746,-9.578536589652242e-05,9.578536589652242e-05,9
load,Load 03,P,322.0,2.40000009536746,-0.00010281001819865133,0.00010281001819865133,10
load,Load 03,P,322.0,2.40000009536746,-0.00010772268737666013,0.00010772268737666013,11
load,Load 03,P,322.0,2.40000009536746,-0.0001058434311293599,0.0001058434311293599,12
load,Load 03,P,322.0,2.40000009536746,-0.00012349228714586546,0.00012349228714586546,13
load,Load 03,P,322.0,2.40000009536746,-9.025581713548725e-05,9.025581713548725e-05,14
load,Load 03,P,322.0,2.40000009536746,-6.789484574535321e-05,6.789484574535321e-05,15
load,Load 03,P,322.0,2.40000009536746,-8.725667569755568e-05,8.725667569755568e-05,16
load,Load 03,P,322.0,2.40000009536746,-0.00010400477591951396,0.00010400477591951396,17
load,Load 03,P,322.0,2.40000009536746,-2.4878349040491356e-05,2.4878349040491356e-05,18
load,Load 03,P,322.0,2.40000009536746,-1.3570923122641076e-05,1.3570923122641076e-05,19
load,Load 03,P,322.0,2.40000009536746,-4.7516072430764386e-05,4.7516072430764386e-05,20
load,Load 03,P,322.0,2.40000009536746,-2.5265121284012702e-05,2.5265121284012702e-05,21
load,Load 03,P,322.0,2.40000009536746,-2.6115862357656282e-05,2.6115862357656282e-05,22
load,Load 03,P,322.0,2.40000009536746,-6.172957419296465e-05,6.172957419296465e-05,23
load,Load 03,P,322.0,2.40000009536746,-8.51820365048217e-05,8.51820365048217e-05,24
load,Load 03,P,322.0,2.40000009536746,-5.427824749412169e-05,5.427824749412169e-05,25
load,Load 03,P,322.0,2.40000009536746,-8.952901508211819e-05,8.952901508211819e-05,26
load,Load 03,P,322.0,2.40000009536746,-2.8081886054476258e-05,2.8081886054476258e-05,27
load,Load 03,P,322.0,2.40000009536746,-1.9219274223847284e-05,1.9219274223847284e-05,28
load,Load 03,Q,322.0,2.40000009536746,-4.388478449097732e-05,4.388478449097732e-05,0
load,Load 03,Q,322.0,2.40000009536746,-6.800690223495165e-05,6.800690223495165e-05,1
load,Load 03,Q,322.0,2.40000009536746,-0.00015089180630013522,0.00015089180630013522,2
load,Load 03,Q,322.0,2.40000009536746,-9.704248283431971e-05,9.704248283431971e-05,3
load,Load 03,Q,322.0,2.40000009536746,-8.282715680066888e-05,8.282715680066888e-05,4
load,Load 03,Q,322.0,2.40000009536746,-4.7416776463082844e-05,4.7416776463082844e-05,5
load,Load 03,Q,322.0,2.40000009536746,-6.185668794159716e-05,6.185668794159716e-05,6
load,Load 03,Q,322.0,2.40000009536746,-6.868879579813303e-05,6.868879579813303e-05,7
load,Load 03,Q,322.0,2.40000009536746,-4.047765875559994e-05,4.047765875559994e-05,8
load,Load 03,Q,322.0,2.40000009536746,-4.736882918897623e-05,4.736882918897623e-05,9
load,Load 03,Q,322.0,2.40000009536746,-4.77852450465166e-05,4.77852450465166e-05,10
load,Load 03,Q,322.0,2.40000009536746,-5.327216943201707e-05,5.327216943201707e-05,11
load,Load 03,Q,322.0,2.40000009536746,-5.559906114109836e-05,5.559906114109836e-05,12
load,Load 03,Q,322.0,2.40000009536746,-7.404558827017738e-05,7.404558827017738e-05,13
load,Load 03,Q,322.0,2.40000009536746,-6.643389093156094e-05,6.643389093156094e-05,14
load,Load 03,Q,322.0,2.40000009536746,-5.9277685391401215e-05,5.9277685391401215e-05,15
load,Load 03,Q,322.0,2.40000009536746,-8.833018145701921e-05,8.833018145701921e-05,16
load,Load 03,Q,322.0,2.40000009536746,-0.00011332040905881469,0.00011332040905881469,17
load,Load 03,Q,322.0,2.40000009536746,-2.172080825915135e-05,2.172080825915135e-05,18
load,Load 03,Q,322.0,2.40000009536746,-1.1848511512180249e-05,1.1848511512180249e-05,19
load,Load 03,Q,322.0,2.40000009536746,-4.148536254464652e-05,4.148536254464652e-05,20
load,Load 03,Q,322.0,2.40000009536746,-2.205848872283145e-05,2.205848872283145e-05,21
