element_idx,element_name,element_type,from_bus,to_bus,P_from_MW,Q_from_MVAR,P_to_MW,Q_to_MVAR,loading_percent,R_ohm,X_ohm,rating_MVA,R_pu,X_pu
15,Line 10 - 11,Line,Cub_4,Cub_3,444.045514182612,143.1484581128455,-443.1704318177982,-140.97232775893963,78.45479428011062,0.47610005736351013,5.118074893951416,0,,
16,Line 10 - 13,Line,Cub_3,Cub_4,205.95448580585946,37.7968963123483,-205.77791014437685,-43.16849261508155,35.280413270213465,0.47610005736351013,5.118074893951416,0,,
17,Line 13 - 14,Line,Cub_3,Cub_5,190.68567080552958,-7.124211723669154,-190.35664590876289,-6.292593497451495,32.01871159449359,1.0712249279022217,12.021525382995605,0,,
18,Line 14 - 15,Line,Cub_4,Cub_5,-67.17605318416999,-57.68462446037742,67.28638560642959,22.369235428046096,14.88253680550847,2.1424498558044434,25.828426361083984,0,,
19,Line 15 - 16,Line,Cub_4,Cub_8,-387.2863856218656,-175.36923542466224,388.86877721867046,174.26417910438317,70.7519985186902,1.0712248086929321,11.188349723815918,0,,
20,Line 16 - 17,Line,Cub_7,Cub_5,156.86695093208988,-28.120441450356857,-156.7001127574484,16.12457922336174,26.013876365374045,0.83317631483078,10.593239784240723,0,,
21,Line 16 - 19,Line,Cub_4,Cub_3,-502.551647748191,-69.25637403715078,506.439463612459,83.98523838185226,82.80780779782314,1.9043996334075928,23.209875106811523,0,,
22,Line 16 - 21,Line,Cub_5,Cub_2,-329.5244168332962,-1.513526415565149,330.3519761589792,-11.352998834597,53.85455785868177,0.9522001147270203,16.068374633789062,0,,
23,Line 16 - 24,Line,Cub_6,Cub_4,-42.659663582930996,-107.67383643679923,42.69578891249534,101.19424146437278,18.904987950508765,0.3570750653743744,7.022475719451904,0,,
24,Line 17 - 18,Line,Cub_1,Cub_2,189.03920794565894,26.90780716425895,-188.79398599595973,-37.86919943723862,31.524431963384576,0.8331751227378845,9.760050773620605,0,,
25,Line 17 - 27,Line,Cub_4,Cub_3,-32.339095199848984,-43.03238638743815,32.36042244749981,9.298271895759584,8.779399307661173,1.5473259687423706,20.591341018676758,0,,
26,Line 21 - 22,Line,Cub_3,Cub_3,-604.3519761718393,-103.64700116492727,607.1830969609456,125.59330461626894,99.90194292563224,0.9522001147270203,16.66349983215332,0,,
27,Line 22 - 23,Line,Cub_2,Cub_3,42.81690302259066,42.830051928309786,-42.79153599564501,-62.57452619944666,12.172103877774934,0.714150071144104,11.426401138305664,0,,
28,Line 23 - 24,Line,Cub_4,Cub_5,353.8504782942963,10.831148009678516,-351.2957950291439,-8.994244514412006,57.02123687895394,2.6185495853424072,41.65875244140625,0,,
29,Line 25 - 26,Line,Cub_4,Cub_2,103.70674903393642,-16.17494206727253,-103.3918902765294,-37.157587636852554,17.571702873205446,3.808799982070923,38.44507598876953,0,,
30,Line 26 - 27,Line,Cub_3,Cub_2,314.7224195325835,73.2519057621793,-313.3604224610461,-84.79827189503726,52.69857931117693,1.6663501262664795,17.496675491333008,0,,
31,Line 26 - 28,Line,Cub_4,Cub_2,-150.56067571312016,-24.807211013883986,151.46359194304875,-50.68548908382977,25.536515499283386,5.118074893951416,56.417850494384766,0,,
32,Line 26 - 29,Line,Cub_5,Cub_3,-199.76985355567496,-28.287107111176276,201.8885449611568,-61.25928631925699,33.706901717890425,6.784424781799316,74.390625,0,,
33,Line 28 - 29,Line,Cub_3,Cub_4,-357.4635919553834,23.085488702708542,359.11372847528446,-32.58712235060648,57.609561011719656,1.66635000705719,17.972774505615234,0,,
34,Trf 02 - 30,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,28.906777635677646,,,0,0.0,0.0
35,Trf 06 - 31,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,1.605830420139992,,,0,0.0,0.0
36,Trf 10 - 32,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,90.2527201739785,,,0,0.0,0.0
37,Trf 11 - 12,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,13.226165094075867,,,0,0.0,0.0
38,Trf 13 - 12,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,17.54971757295195,,,0,0.0,0.0
39,Trf 19 - 20,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,12.540178557623822,,,0,0.0,0.0
40,Trf 19 - 33,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,80.7682341818914,,,0,0.0,0.0
41,Trf 20 - 34,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,88.33028793080386,,,0,0.0,0.0
42,Trf 22 - 35,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,82.14429258878332,,,0,0.0,0.0
43,Trf 23 - 36,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,76.69334172373074,,,0,0.0,0.0
44,Trf 25 - 37,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,75.11435950854761,,,0,0.0,0.0
45,Trf 29 - 38,Transformer,Unknown,Unknown,0.0,0.0,0.0,0.0,82.89847962342812,,,0,0.0,0.0
